dataset,scene,image,rotation_matrix,translation_vector
imc2023_haiper,fountain,fountain_image_166.png,0.205282887;0.853498392;-0.478956608;0.777317243;0.155169230;0.609672383;0.594673726;-0.497456536;-0.631585429,-0.383132509;-2.300858449;3.406057685
imc2023_haiper,fountain,fountain_image_163.png,0.458585619;0.446274041;-0.768465166;0.815727269;0.131665704;0.563252311;0.352545391;-0.885157400;-0.303657906,0.164135481;-2.237573803;3.738445237
imc2023_haiper,fountain,fountain_image_155.png,0.496128360;-0.144718967;-0.856103423;0.857812214;0.234123995;0.457541430;0.134219431;-0.961375252;0.240297251,0.125220804;-2.555268296;3.337481477
imc2023_haiper,fountain,fountain_image_143.png,0.296630411;-0.857445801;-0.420472470;0.839767280;0.443856539;-0.312701597;0.454754126;-0.260342219;0.851716275,0.195142757;-0.434581123;2.490753988
imc2023_haiper,fountain,fountain_image_136.png,-0.210972843;-0.903541305;0.372965910;0.896055570;-0.331235235;-0.295580166;0.390608339;0.271838793;0.879504858,0.224657382;-1.167044255;2.601058995
imc2023_haiper,fountain,fountain_image_129.png,-0.534389548;-0.342131627;0.772899580;0.682218938;-0.714433618;0.155441066;0.499004139;0.610352812;0.615194534,0.232048677;-1.404195761;2.823681170
imc2023_haiper,bike,bike_image_119.png,0.341392766;0.813514561;-0.470791927;0.700040986;0.114171458;0.704916659;0.627210967;-0.570227093;-0.530516226,-0.100077945;-2.544833204;4.041704877
imc2023_haiper,bike,bike_image_115.png,0.390404366;0.163671893;-0.905977893;0.886103228;0.200219299;0.418011127;0.249810931;-0.965983304;-0.066863704,0.829697550;-2.348041794;3.472508100
imc2023_haiper,bike,bike_image_038.png,-0.440758751;-0.614134480;0.654653011;0.867590367;-0.478549884;0.135192325;0.230257854;0.627557846;0.743742207,-0.806161998;-1.361491410;2.575947894
imc2023_haiper,bike,bike_image_049.png,-0.461507078;-0.037215313;0.886355593;0.804080030;-0.439645808;0.400208531;0.374788636;0.897399902;0.232823742,-0.050292370;-2.095335108;3.128109738
imc2023_haiper,bike,bike_image_139.png,0.454847580;0.533125630;-0.713365784;0.391377162;0.599862813;0.697845630;0.799960997;-0.596608472;0.064192953,1.086957983;-1.559403473;3.044106079
imc2023_haiper,bike,bike_image_029.png,-0.303794298;-0.780428110;0.546480548;0.914537071;-0.078080073;0.396894756;-0.267078583;0.620351083;0.737450719,-0.774379505;-2.406362247;4.203909144
imc2023_haiper,bike,bike_image_150.png,0.574971611;-0.279231423;-0.769049711;0.809566126;0.330149685;0.485390434;0.118365259;-0.901682315;0.415882998,0.426737871;-1.868801598;2.797678231
imc2023_haiper,bike,bike_image_137.png,0.224252446;0.868784308;-0.441502738;0.532129633;0.270377466;0.802330406;0.816424457;-0.414861246;-0.401673067,0.784761582;-0.256854640;3.378845297
imc2023_haiper,bike,bike_image_004.png,-0.044408637;-0.994362210;0.096289498;0.998633161;-0.046844259;-0.023182421;0.027562334;0.095128386;0.995083367,-0.196067220;-1.720151463;2.903829461
imc2023_haiper,bike,bike_image_128.png,-0.217724885;0.694914688;0.685338932;0.603873756;-0.455732994;0.653944894;0.766767475;0.556238272;-0.320416329,-1.109435203;-2.545644986;4.578881333
imc2023_haiper,bike,bike_image_062.png,0.064544667;0.994306340;0.084787309;0.475612973;-0.105344868;0.873323971;0.877283469;-0.016042461;-0.479704444,0.458136989;-1.735237700;3.678762819
imc2023_haiper,bike,bike_image_076.png,0.566876909;-0.095101522;-0.818294733;0.728342047;0.521990125;0.443896579;0.384926529;-0.847633181;0.365170586,1.149604938;-1.493026344;2.573789255
imc2023_haiper,bike,bike_image_088.png,0.253507029;-0.876007407;-0.410298926;0.959010629;0.172077743;0.225139652;-0.126620690;-0.450555516;0.883723332,-0.448715630;-1.750899303;2.680271306
imc2023_haiper,bike,bike_image_094.png,0.154387181;-0.929394489;-0.335246896;0.943147090;0.037546107;0.330248175;-0.294343618;-0.367173219;0.882352346,-0.375958967;-2.714322519;4.132218436
imc2023_haiper,bike,bike_image_101.png,0.423465877;-0.672225812;-0.607280090;0.835502404;0.548917216;-0.025012449;0.350160510;-0.496792057;0.794093993,-0.112768968;-0.711739652;1.914870005
imc2023_haiper,chairs,chairs_image_122.png,0.030810877;0.983330806;-0.179196026;0.508286651;0.138954866;0.849903657;0.860636608;-0.117269225;-0.495532601,-1.169417810;-1.142465378;2.292620468
imc2023_haiper,chairs,chairs_image_115.png,0.280807756;0.544482773;-0.790370492;0.590897352;0.550846631;0.589413529;0.756298435;-0.632539721;-0.167051423,-1.095021014;-1.335376996;2.517897681
imc2023_haiper,chairs,chairs_image_103.png,0.340344817;0.664617729;-0.665168159;0.841261673;0.100787601;0.531150314;0.420052618;-0.740354735;-0.524814885,-0.269141233;-1.373602108;2.959490082
imc2023_haiper,chairs,chairs_image_094.png,-0.008476046;0.939967200;0.341159521;0.829666755;-0.183836491;0.527121637;0.558194619;0.287516620;-0.778301330,-0.576127529;-2.278861466;4.329563939
imc2023_haiper,chairs,chairs_image_051.png,0.396016222;-0.147353185;-0.906343307;0.812945229;0.515206538;0.271444797;0.426955742;-0.844304011;0.323820215,0.144492194;-2.024219790;3.389312161
imc2023_haiper,chairs,chairs_image_131.png,-0.346123462;0.626039270;0.698765612;0.552035795;-0.466322015;0.691230974;0.758587523;0.624994888;-0.184191096,-1.486501300;-1.032274292;2.513791778
imc2023_haiper,chairs,chairs_image_004.png,-0.070596389;-0.944280744;0.321480990;0.996052411;-0.084118458;-0.028349227;0.053812114;0.318210563;0.946491571,0.380961437;-1.625696681;3.337198946
imc2023_haiper,chairs,chairs_image_160.png,0.296196927;-0.382969016;-0.874986922;0.953719994;0.168293159;0.249189858;0.051822318;-0.908301792;0.415093124,-0.024319655;0.345536374;4.324813302
imc2023_haiper,chairs,chairs_image_035.png,0.112570320;0.971529231;-0.208467926;0.630340843;0.092359969;0.770804811;0.768113497;-0.218175592;-0.601997564,-0.024999599;-2.045897910;3.089317607
imc2023_haiper,chairs,chairs_image_045.png,0.320619314;0.295217547;-0.900027697;0.797709519;0.428198999;0.424623529;0.510747275;-0.854103165;-0.098208978,0.569519434;-1.743763125;3.934923682
imc2023_haiper,chairs,chairs_image_155.png,0.196610243;-0.829773663;-0.522321818;0.972532133;0.232739889;-0.003659911;0.124602020;-0.507255175;0.852740596,-0.137851329;-0.496575589;3.785631804
imc2023_haiper,chairs,chairs_image_152.png,-0.033371541;-0.989600817;-0.139916272;0.999196479;-0.036144039;0.017320673;-0.022197691;-0.139225828;0.990011834,0.258395416;0.118801057;2.851996805
imc2023_haiper,chairs,chairs_image_020.png,-0.365945689;0.384297401;0.847584368;0.765928243;-0.392958419;0.508859123;0.528618652;0.835403608;-0.150542794,0.136272695;-1.550127360;2.620041045
imc2023_haiper,chairs,chairs_image_144.png,-0.181306088;-0.714684974;0.675539407;0.972721941;-0.231404138;0.016252714;0.144707044;0.660058720;0.737144734,-0.214500768;-0.246891812;2.334909592
imc2023_haiper,chairs,chairs_image_141.png,-0.353281921;-0.240085489;0.904185181;0.918148510;-0.274355291;0.285888942;0.179430202;0.931175672;0.317358898,0.168852799;-0.100550679;3.076087974
imc2023_haiper,chairs,chairs_image_073.png,-0.358387254;-0.623314445;0.695009121;0.928432595;-0.159949237;0.335304575;-0.097834007;0.765438008;0.636029216,0.371400312;-1.650134096;3.708180305
imc2023_heritage,outliers,outliers_dsc_4115_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4120_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4122_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4125_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4127_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4128_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4129_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4165_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4167_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4176_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4177_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4178_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4473_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4474_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3222.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3225.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3229.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3233.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3237.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3240.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3249.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3250.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3251.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3253.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3254.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3255.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3261.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3262.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8367.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8368.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8372.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8375.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8599.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8600.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8630_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8632.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8634.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8641.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8648.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8656_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8662.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8665_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8838_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8849_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8871.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8890.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8894.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8904.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8916.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8948_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8978_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9065.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9068.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9070.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9072.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9075.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9076.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9078.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9078_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9084.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9085.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,dioscuri,dioscuri_archive_0069.png,-0.979195550;0.007108398;0.202794343;0.075310782;0.940738779;0.330664235;-0.188426009;0.339057548;-0.921702565,-0.291553977;-0.946437595;13.408536680
imc2023_heritage,dioscuri,dioscuri_img_0055.png,0.785662722;0.064108891;0.615324417;-0.087516398;0.996131282;0.007959215;-0.612433644;-0.060104236;0.788233793,-6.586804719;8.984641372;55.394285509
imc2023_heritage,dioscuri,dioscuri_3dom_fbk_img_1541.png,0.132941521;-0.987868247;-0.080267541;0.867775653;0.076887050;0.490972298;-0.478844409;-0.134924822;0.867469495,-2.348781340;-5.801293446;10.845935177
imc2023_heritage,dioscuri,dioscuri_img_0258.png,0.768028626;-0.130201091;-0.627040434;0.187345916;0.981961091;0.025571909;0.612399819;-0.137113423;0.778566870,3.684439257;5.235047374;21.338402117
imc2023_heritage,dioscuri,dioscuri_archive_0171.png,0.736159771;-0.015100848;-0.676639311;0.084545831;0.993971812;0.069799997;0.671506362;-0.108590983;0.732998775,2.388268951;2.376106769;11.237095625
imc2023_heritage,dioscuri,dioscuri_img_0163.png,0.006553399;0.997126582;-0.075469410;-0.952115125;-0.016847759;-0.305275191;-0.305669498;0.073856157;0.949268890,2.303484718;1.486209073;53.109337048
imc2023_heritage,dioscuri,dioscuri_3dom_fbk_img_1563.png,-0.468273509;-0.867834129;0.166083850;-0.057305737;-0.157741435;-0.985816257;0.881723298;-0.471149195;0.024134260,-7.957702328;8.902477460;14.253438049
imc2023_heritage,dioscuri,dioscuri_img_0161.png,-0.033134796;0.998414821;0.045496488;-0.947314052;-0.016863190;-0.319862032;-0.318587777;-0.053698026;0.946371148,8.975344293;0.726203887;51.773916487
imc2023_heritage,dioscuri,dioscuri_img_0188.png,0.999890723;-0.001042943;-0.014746329;0.000088220;0.997911495;-0.064595985;0.014782901;0.064587625;0.997802538,-1.364324068;2.732420460;46.521662416
imc2023_heritage,dioscuri,dioscuri_img_0314.png,0.046563280;-0.153985040;-0.986975414;0.490197924;0.864419268;-0.111737750;0.870366507;-0.478610423;0.115733343,9.072556289;8.921470763;15.740264409
imc2023_heritage,dioscuri,dioscuri_img_0460.png,-0.515331295;0.747818719;-0.418569969;0.489861024;-0.143719497;-0.859872597;-0.703185490;-0.648160373;-0.292264089,9.431260554;5.262367726;14.033133727
imc2023_heritage,dioscuri,dioscuri_img_0364.png,0.202637501;0.917299536;-0.342782154;0.742761705;0.084139405;0.664248154;0.638156010;-0.389207043;-0.664285169,6.768050278;-7.562013731;23.484468335
imc2023_heritage,dioscuri,dioscuri_3dom_fbk_img_1516.png,-0.088382941;-0.994700208;0.052535250;0.238858585;-0.072367278;-0.968354043;0.967023801;-0.073037483;0.243988717,-1.490508971;6.617873079;17.352060222
imc2023_heritage,dioscuri,dioscuri_3dom_fbk_img_1561.png,0.488159118;-0.097832321;-0.867254007;-0.151182020;0.969196183;-0.194429305;0.859560744;0.226025651;0.458331466,4.962846785;-2.784951473;15.679640111
imc2023_heritage,dioscuri,dioscuri_img_0187.png,0.999891799;-0.002424199;-0.014509108;0.002465532;0.999992952;0.002831521;0.014502141;-0.002866987;0.999890728,-1.366985310;5.856786965;46.422544894
imc2023_heritage,dioscuri,dioscuri_img_0348.png,-0.528508127;-0.172339862;-0.831250944;0.456532316;0.767833930;-0.449454447;0.715721597;-0.617033247;-0.327127755,9.139930177;12.051492395;17.095807811
imc2023_heritage,dioscuri,dioscuri_archive_0036.png,-0.981716742;-0.029917497;0.187981865;0.059174304;0.890670038;0.450782969;-0.180916113;0.453664884;-0.872615341,-0.723931406;-3.294948963;12.620112541
imc2023_heritage,dioscuri,dioscuri_img_0238.png,0.180153296;0.983393987;0.021933004;-0.793156484;0.132042597;0.594531366;0.581762479;-0.124503089;0.803773226,6.218384788;0.014279887;26.386441094
imc2023_heritage,dioscuri,dioscuri_img_0369.png,0.179649757;0.925373903;-0.333780025;0.790187965;0.066354139;0.609261937;0.585942782;-0.373202718;-0.719298816,6.297421258;-5.665970748;24.168719043
imc2023_heritage,dioscuri,dioscuri_img_0276.png,0.095868613;0.989688574;-0.106422438;-0.348024308;0.133493944;0.927932351;0.932570796;-0.051921992;0.357233560,2.266133013;-6.784606806;22.328223771
imc2023_heritage,dioscuri,dioscuri_3dom_fbk_img_1566.png,-0.679790996;-0.102994814;-0.726137914;0.512170021;0.642000810;-0.570540822;0.524943875;-0.759754585;-0.383675514,6.463046138;12.886027539;13.244002598
imc2023_heritage,dioscuri,dioscuri_archive_0070.png,0.152662991;0.092120474;0.983975523;0.107436825;0.988198392;-0.109184557;-0.982421162;0.122383647;0.140964191,-10.417611201;4.680420497;2.528800629
imc2023_heritage,dioscuri,dioscuri_img_0068.png,0.000529991;0.993423879;-0.114493297;-0.699788431;-0.081419863;-0.709694975;-0.714349964;0.080497216;0.695143386,0.623684705;6.379766467;58.270780013
imc2023_heritage,dioscuri,dioscuri_archive_0022.png,0.993557790;-0.111668596;0.019314311;-0.110527506;-0.992485488;-0.052499774;0.025031750;0.050026796;-0.998434140,-2.466574182;-2.831021466;11.725809675
imc2023_heritage,dioscuri,dioscuri_archive_0230.png,0.739714583;-0.032458340;-0.672137480;0.077103448;0.996345913;0.036740713;0.668488888;-0.079001758;0.739514252,2.417255475;2.000019600;10.705742256
imc2023_heritage,dioscuri,dioscuri_img_0354.png,0.201253665;0.913458582;-0.353681186;0.754251400;0.085862641;0.650947335;0.624981430;-0.397770067;-0.671697243,7.018991048;-7.149539658;23.515068769
imc2023_heritage,dioscuri,dioscuri_img_0246.png,0.803989546;-0.074307943;-0.589982322;0.156000846;0.983767806;0.088682806;0.573815778;-0.163337790;0.802531133,2.291413974;5.858586283;21.661719505
imc2023_heritage,dioscuri,dioscuri_archive_0004.png,0.553138640;-0.085182699;-0.828722844;0.106777819;0.993803226;-0.030881137;0.826217975;-0.071407668;0.558806588,4.792961353;4.094196895;26.588703674
imc2023_heritage,dioscuri,dioscuri_archive_0034.png,0.280565144;0.151178115;0.947854618;0.018163938;0.986505208;-0.162719222;-0.959663103;0.062870115;0.274032986,-10.323030610;4.972934629;-0.263702041
imc2023_heritage,dioscuri,dioscuri_img_0115.png,-0.158033575;0.153283922;0.975463699;-0.210567224;0.959923360;-0.184955636;-0.964721117;-0.234629884;-0.119423550,-6.326656492;8.744134245;48.458749077
imc2023_heritage,dioscuri,dioscuri_archive_0068.png,-0.999407841;0.006729925;-0.033744254;0.000455486;0.983187929;0.182595973;0.034405800;0.182472478;-0.982608791,2.235088656;1.116475414;13.197437840
imc2023_heritage,dioscuri,dioscuri_3dom_fbk_img_1548.png,0.999480748;-0.007469107;-0.031344009;0.000606613;0.976951840;-0.213458978;0.032215935;0.213329125;0.976449086,-3.045038971;-1.491901359;10.777329927
imc2023_heritage,dioscuri,dioscuri_archive_0092.png,0.369231512;0.027583651;0.928928002;0.004821310;0.999489116;-0.031595278;-0.929324941;0.016144622;0.368909888,-10.586314746;4.223358779;-0.026162776
imc2023_heritage,dioscuri,dioscuri_img_0418.png,-0.038374226;0.969425072;-0.242368414;0.986743853;-0.001511855;-0.162278412;-0.157683187;-0.245382851;-0.956516215,2.185330269;0.031589567;26.724090934
imc2023_heritage,dioscuri,dioscuri_img_0079.png,0.521812590;0.231716710;0.820986594;-0.084954724;0.971733039;-0.220267103;-0.848819366;0.045191458;0.526747963,-6.573236177;1.236608786;57.793640349
imc2023_heritage,dioscuri,dioscuri_img_0095.png,0.202279734;0.181189159;0.962420593;-0.210506519;0.967808927;-0.137959727;-0.956436048;-0.174689352;0.233909632,-6.676796012;8.431471242;49.389331869
imc2023_heritage,dioscuri,dioscuri_archive_0003.png,0.844056929;0.066588390;0.532103267;-0.057731617;0.997777080;-0.033286017;-0.533136906;-0.002623888;0.846024914,-4.497804681;4.897160173;43.533480175
imc2023_heritage,dioscuri,dioscuri_3dom_fbk_img_1580.png,-0.940436558;-0.014231864;-0.339671215;-0.053490638;0.992873127;0.106497442;0.335734765;0.118323318;-0.934495458,3.375909960;-4.187283712;22.753034538
imc2023_heritage,dioscuri,dioscuri_img_0181.png,0.996792414;-0.030630354;0.073936896;0.036638614;0.996014084;-0.081323781;-0.071151214;0.083771874;0.993941536,-1.186218124;1.932162532;49.103240390
imc2023_heritage,dioscuri,dioscuri_archive_0095.png,-0.038558906;0.999131243;-0.015810471;0.992554940;0.040124874;0.114998636;0.115533123;-0.011258539;-0.993239821,3.346187244;-2.916600453;11.723170801
imc2023_heritage,dioscuri,dioscuri_archive_0033.png,-0.981320275;-0.006255331;0.192279453;0.004509882;0.998448573;0.055498726;-0.192328308;0.055329183;-0.979769618,-0.703283178;3.015647869;13.354903822
imc2023_heritage,dioscuri,dioscuri_archive_0010.png,-0.595873209;-0.125734576;0.793174593;-0.794075231;0.239725287;-0.558548399;-0.119915161;-0.962664325;-0.242688588,-6.290613950;11.521477086;5.337221027
imc2023_heritage,dioscuri,dioscuri_img_0424.png,-0.030418624;0.924681825;-0.379523687;0.997957588;0.006757524;-0.063521562;-0.056172594;-0.380680782;-0.922998798,5.929640846;-2.709718563;26.035594918
imc2023_heritage,dioscuri,dioscuri_img_0092.png,-0.182575026;0.968662362;-0.168403056;-0.354805873;-0.224652688;-0.907548325;-0.916940103;-0.105945266;0.384703065,7.294580028;6.605387338;55.586900969
imc2023_heritage,dioscuri,dioscuri_archive_0160.png,-0.196882446;-0.143987363;-0.969796340;-0.006902432;-0.988928931;0.148229304;-0.980402804;0.035877702;0.193708884,10.074316044;-5.350958841;0.854585501
